## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/mapped_reads/P013test_dna_tumor.sorted.bam] OUTPUT=results/mapped_reads/P013test_dna_tumor.marked.bam METRICS_FILE=logs/picard/P013test_dna_tumor_duplication_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 26 00:15:45 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
LIB-P013test_tumor-1	11141	30961205	69539	40549	470	600079	20590	0.019386	815658971

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000653	29771730	0	29791582
2.0	1.964034	578883	20554	559755
3.0	2.891533	10346	18	9636
4.0	3.784484	164	0	150
5.0	4.644176	3	0	3
6.0	5.471847	0	0	0
7.0	6.268689	0	0	0
8.0	7.035851	0	0	0
9.0	7.774439	0	0	0
10.0	8.485517	0	0	0
11.0	9.170108	0	0	0
12.0	9.829201	0	0	0
13.0	10.463745	0	0	0
14.0	11.074653	0	0	0
15.0	11.662807	0	0	0
16.0	12.229054	0	0	0
17.0	12.77421	0	0	0
18.0	13.29906	0	0	0
19.0	13.804361	0	0	0
20.0	14.290842	0	0	0
21.0	14.759202	0	0	0
22.0	15.210117	0	0	0
23.0	15.644237	0	0	0
24.0	16.062187	0	0	0
25.0	16.46457	0	0	0
26.0	16.851965	0	0	0
27.0	17.22493	0	0	0
28.0	17.584004	0	0	0
29.0	17.929704	0	0	0
30.0	18.262527	0	0	0
31.0	18.582953	0	0	0
32.0	18.891444	0	0	0
33.0	19.188445	0	0	0
34.0	19.474384	0	0	0
35.0	19.749672	0	0	0
36.0	20.014707	0	0	0
37.0	20.269869	0	0	0
38.0	20.515528	0	0	0
39.0	20.752036	0	0	0
40.0	20.979736	0	0	0
41.0	21.198954	0	0	0
42.0	21.410007	0	0	0
43.0	21.613199	0	0	0
44.0	21.808822	0	0	0
45.0	21.997159	0	0	0
46.0	22.178481	0	0	0
47.0	22.353049	0	0	0
48.0	22.521116	0	0	0
49.0	22.682922	0	0	0
50.0	22.838701	0	0	0
51.0	22.988678	0	0	0
52.0	23.133069	0	0	0
53.0	23.272082	0	0	0
54.0	23.405917	0	0	0
55.0	23.534766	0	0	0
56.0	23.658817	0	0	0
57.0	23.778247	0	0	0
58.0	23.893229	0	0	0
59.0	24.003928	0	0	0
60.0	24.110503	0	0	0
61.0	24.213109	0	0	0
62.0	24.311894	0	0	0
63.0	24.406998	0	0	0
64.0	24.498561	0	0	0
65.0	24.586713	0	0	0
66.0	24.671582	0	0	0
67.0	24.753289	0	0	0
68.0	24.831953	0	0	0
69.0	24.907687	0	0	0
70.0	24.980601	0	0	0
71.0	25.050798	0	0	0
72.0	25.118381	0	0	0
73.0	25.183446	0	0	0
74.0	25.246088	0	0	0
75.0	25.306397	0	0	0
76.0	25.36446	0	0	0
77.0	25.420359	0	0	0
78.0	25.474177	0	0	0
79.0	25.52599	0	0	0
80.0	25.575873	0	0	0
81.0	25.623899	0	0	0
82.0	25.670135	0	0	0
83.0	25.714649	0	0	0
84.0	25.757506	0	0	0
85.0	25.798766	0	0	0
86.0	25.838489	0	0	0
87.0	25.876732	0	0	0
88.0	25.913551	0	0	0
89.0	25.948999	0	0	0
90.0	25.983126	0	0	0
91.0	26.015983	0	0	0
92.0	26.047615	0	0	0
93.0	26.078069	0	0	0
94.0	26.107389	0	0	0
95.0	26.135617	0	0	0
96.0	26.162793	0	0	0
97.0	26.188958	0	0	0
98.0	26.214147	0	0	0
99.0	26.238399	0	0	0
100.0	26.261747	0	0	0

